City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,qui nhon,13.7667,109.2333,24.560000000000002,89,100,0.91,VN,2024-04-08
63,san rafael,-34.6177,-68.3301,29.77000000000004,27,4,3.98,AR,2024-04-08
64,longyearbyen,78.2186,15.6401,-15.089999999999975,78,75,0.0,SJ,2024-04-08
65,colonia,50.9333,6.95,19.980000000000018,62,69,1.8,DE,2024-04-08
66,hawaiian paradise park,19.5933,-154.9731,21.129999999999995,96,100,2.06,US,2024-04-08
67,cabo san lucas,22.8909,-109.9124,25.900000000000034,69,100,2.24,MX,2024-04-08
68,neryungri,56.6709,124.6491,-22.119999999999976,100,97,1.39,RU,2024-04-08
69,badger,64.8,-147.5333,0.7600000000000477,80,75,0.0,US,2024-04-08
70,solleftea,63.1667,17.2667,1.920000000000016,99,79,0.99,SE,2024-04-08
71,constantia,44.1833,28.65,12.610000000000014,70,3,2.53,RO,2024-04-08
72,al hufuf,25.3646,49.5653,25.189999999999998,53,75,2.57,SA,2024-04-08
73,prado,-17.3411,-39.2208,26.910000000000025,75,67,3.5,BR,2024-04-08
74,marsa alam,25.0757,34.8918,22.590000000000032,52,0,2.45,EG,2024-04-08
75,ilebo,-4.3167,20.5833,22.78000000000003,94,81,0.61,CD,2024-04-08
76,puerto natales,-51.7236,-72.4875,5.25,56,75,8.23,CL,2024-04-08
77,el galpon,-25.3807,-64.6526,25.360000000000014,68,100,2.74,AR,2024-04-08
78,wailua homesteads,22.0669,-159.378,24.439999999999998,74,75,6.69,US,2024-04-08
79,goondiwindi,-28.55,150.3167,17.350000000000023,67,2,2.7,AU,2024-04-08
80,krasnyy chikoy,50.3643,108.7512,3.670000000000016,97,100,1.96,RU,2024-04-08
81,huarmey,-10.0681,-78.1522,25.24000000000001,75,65,4.68,PE,2024-04-08
82,san antonio de pale,-1.4014,5.6325,27.05000000000001,84,100,4.63,GQ,2024-04-08
83,maragogi,-9.0122,-35.2225,27.900000000000034,78,31,3.26,BR,2024-04-08
84,catabola,-12.15,17.2833,17.150000000000034,94,100,1.37,AO,2024-04-08
85,santyoku,37.4406,129.1708,8.600000000000023,63,100,7.54,KR,2024-04-08
86,mar del plata,-38.0023,-57.5575,26.08000000000004,53,20,6.69,AR,2024-04-08
87,salinas,36.6777,-121.6555,19.99000000000001,56,0,2.06,US,2024-04-08
88,tralee,52.2704,-9.7026,6.800000000000011,80,100,9.76,IE,2024-04-08
89,sungai penuh,-2.0833,101.3833,19.090000000000032,97,100,1.0,ID,2024-04-08
90,gracemere,-23.4333,150.45,17.950000000000045,88,1,2.57,AU,2024-04-08
91,stanley,54.868,-1.6985,10.770000000000039,88,0,0.0,GB,2024-04-08
92,ust-nera,64.5667,143.2,-16.079999999999984,98,99,1.49,RU,2024-04-08
93,papatowai,-46.5619,169.4708,12.720000000000027,93,100,3.74,NZ,2024-04-08
94,lihue,21.9789,-159.3672,24.77000000000004,66,75,6.69,US,2024-04-08
95,bredasdorp,-34.5322,20.0403,15.879999999999995,95,100,7.31,ZA,2024-04-08
96,kharp,66.8014,65.8081,-19.599999999999966,95,47,3.48,RU,2024-04-08
97,gadzhiyevo,69.2551,33.3362,-3.6299999999999955,94,100,6.89,RU,2024-04-08
98,invercargill,-46.4,168.35,15.010000000000048,78,100,3.13,NZ,2024-04-08
99,crane,31.3974,-102.3501,29.260000000000048,8,14,4.37,US,2024-04-08
100,sampit,-2.5333,112.95,24.33000000000004,98,100,1.21,ID,2024-04-08
101,aasiaat,68.7098,-52.8699,-6.239999999999952,86,95,1.86,GL,2024-04-08
102,pergamino,-33.89,-60.5736,25.03000000000003,55,3,3.64,AR,2024-04-08
103,pisco,-13.7,-76.2167,23.900000000000034,88,50,4.63,PE,2024-04-08
104,bathsheba,13.2167,-59.5167,30.340000000000032,66,20,5.14,BB,2024-04-08
105,zeya,53.75,127.2667,-5.289999999999964,75,2,1.33,RU,2024-04-08
106,ribeira grande,38.5167,-28.7,17.220000000000027,94,75,5.81,PT,2024-04-08
107,myeik,12.4333,98.6,27.75,78,36,1.73,MM,2024-04-08
108,saldanha,-33.0117,17.9442,17.03000000000003,90,95,10.82,ZA,2024-04-08
109,nova sintra,14.8667,-24.7167,23.510000000000048,75,0,6.19,CV,2024-04-08
110,lebyazh'ye,55.2689,66.4947,1.9300000000000068,85,100,3.21,RU,2024-04-08
111,yellowknife,62.456,-114.3525,3.5600000000000023,73,75,5.14,CA,2024-04-08
112,avarua,-21.2078,-159.775,26.03000000000003,89,75,3.6,CK,2024-04-08
113,kailua-kona,19.6406,-155.9956,26.27000000000004,74,75,2.57,US,2024-04-08
114,olonkinbyen,70.9221,-8.7187,-3.3999999999999773,66,90,8.66,SJ,2024-04-08
115,tarko-sale,64.9225,77.785,-9.299999999999955,91,100,4.08,RU,2024-04-08
116,parham,17.0968,-61.7705,30.58000000000004,58,20,3.6,AG,2024-04-08
117,georgetown,5.4112,100.3354,27.960000000000036,89,20,2.06,MY,2024-04-08
118,copiapo,-27.3667,-70.3333,17.83000000000004,32,0,3.42,CL,2024-04-08
119,botou,38.0667,116.5667,7.6200000000000045,34,58,3.86,CN,2024-04-08
120,osh,40.5151,72.8083,11.360000000000014,62,100,4.0,KG,2024-04-08
121,neya,58.2972,43.8681,5.4500000000000455,93,4,2.6,RU,2024-04-08
122,camocim,-2.9022,-40.8411,27.129999999999995,85,100,3.03,BR,2024-04-08
123,qaqortoq,60.7167,-46.0333,-2.0499999999999545,96,100,3.03,GL,2024-04-08
124,sisimiut,66.9395,-53.6735,-3.9899999999999523,77,74,3.2,GL,2024-04-08
